CODE,DATE,DAY,MONTH,YEAR,VALUE
PRECOS12_IPCAGA12,2018-05-01T00:00:00-03:00,1,5,2018,2.86
PRECOS12_IPCAGA12,2018-06-01T00:00:00-03:00,1,6,2018,4.39
PRECOS12_IPCAGA12,2018-07-01T00:00:00-03:00,1,7,2018,4.48
PRECOS12_IPCAGA12,2018-08-01T00:00:00-03:00,1,8,2018,4.19
PRECOS12_IPCAGA12,2018-09-01T00:00:00-03:00,1,9,2018,4.53
PRECOS12_IPCAGA12,2018-10-01T00:00:00-03:00,1,10,2018,4.56
PRECOS12_IPCAGA12,2018-11-01T00:00:00-03:00,1,11,2018,4.05
PRECOS12_IPCAGA12,2018-12-01T00:00:00-02:00,1,12,2018,3.75
PRECOS12_IPCAGA12,2019-01-01T00:00:00-02:00,1,1,2019,3.78
PRECOS12_IPCAGA12,2019-02-01T00:00:00-02:00,1,2,2019,3.89
PRECOS12_IPCAGA12,2019-03-01T00:00:00-03:00,1,3,2019,4.58
PRECOS12_IPCAGA12,2019-04-01T00:00:00-03:00,1,4,2019,4.94
PRECOS12_IPCAGA12,2019-05-01T00:00:00-03:00,1,5,2019,4.66
PRECOS12_IPCAGA12,2019-06-01T00:00:00-03:00,1,6,2019,3.37
PRECOS12_IPCAGA12,2019-07-01T00:00:00-03:00,1,7,2019,3.22
PRECOS12_IPCAGA12,2019-08-01T00:00:00-03:00,1,8,2019,3.43
PRECOS12_IPCAGA12,2019-09-01T00:00:00-03:00,1,9,2019,2.89
PRECOS12_IPCAGA12,2019-10-01T00:00:00-03:00,1,10,2019,2.54
PRECOS12_IPCAGA12,2019-11-01T00:00:00-03:00,1,11,2019,3.27
PRECOS12_IPCAGA12,2019-12-01T00:00:00-03:00,1,12,2019,4.31
PRECOS12_IPCAGA12,2020-01-01T00:00:00-03:00,1,1,2020,4.19
PRECOS12_IPCAGA12,2020-02-01T00:00:00-03:00,1,2,2020,4.01
PRECOS12_IPCAGA12,2020-03-01T00:00:00-03:00,1,3,2020,3.3
PRECOS12_IPCAGA12,2020-04-01T00:00:00-03:00,1,4,2020,2.4
PRECOS12_IPCAGA12,2020-05-01T00:00:00-03:00,1,5,2020,1.88
PRECOS12_IPCAGA12,2020-06-01T00:00:00-03:00,1,6,2020,2.13
PRECOS12_IPCAGA12,2020-07-01T00:00:00-03:00,1,7,2020,2.31
PRECOS12_IPCAGA12,2020-08-01T00:00:00-03:00,1,8,2020,2.44
PRECOS12_IPCAGA12,2020-09-01T00:00:00-03:00,1,9,2020,3.14
PRECOS12_IPCAGA12,2020-10-01T00:00:00-03:00,1,10,2020,3.92
PRECOS12_IPCAGA12,2020-11-01T00:00:00-03:00,1,11,2020,4.31
PRECOS12_IPCAGA12,2020-12-01T00:00:00-03:00,1,12,2020,4.52
PRECOS12_IPCAGA12,2021-01-01T00:00:00-03:00,1,1,2021,4.56
PRECOS12_IPCAGA12,2021-02-01T00:00:00-03:00,1,2,2021,5.2
PRECOS12_IPCAGA12,2021-03-01T00:00:00-03:00,1,3,2021,6.1
PRECOS12_IPCAGA12,2021-04-01T00:00:00-03:00,1,4,2021,6.76
PRECOS12_IPCAGA12,2021-05-01T00:00:00-03:00,1,5,2021,8.06
PRECOS12_IPCAGA12,2021-06-01T00:00:00-03:00,1,6,2021,8.35
PRECOS12_IPCAGA12,2021-07-01T00:00:00-03:00,1,7,2021,8.99
PRECOS12_IPCAGA12,2021-08-01T00:00:00-03:00,1,8,2021,9.68
PRECOS12_IPCAGA12,2021-09-01T00:00:00-03:00,1,9,2021,10.25
PRECOS12_IPCAGA12,2021-10-01T00:00:00-03:00,1,10,2021,10.67
PRECOS12_IPCAGA12,2021-11-01T00:00:00-03:00,1,11,2021,10.74
PRECOS12_IPCAGA12,2021-12-01T00:00:00-03:00,1,12,2021,10.06
PRECOS12_IPCAGA12,2022-01-01T00:00:00-03:00,1,1,2022,10.38
PRECOS12_IPCAGA12,2022-02-01T00:00:00-03:00,1,2,2022,10.54
PRECOS12_IPCAGA12,2022-03-01T00:00:00-03:00,1,3,2022,11.3
PRECOS12_IPCAGA12,2022-04-01T00:00:00-03:00,1,4,2022,12.13
PRECOS12_IPCAGA12,2022-05-01T00:00:00-03:00,1,5,2022,11.73
PRECOS12_IPCAGA12,2022-06-01T00:00:00-03:00,1,6,2022,11.89
PRECOS12_IPCAGA12,2022-07-01T00:00:00-03:00,1,7,2022,10.07
PRECOS12_IPCAGA12,2022-08-01T00:00:00-03:00,1,8,2022,8.73
PRECOS12_IPCAGA12,2022-09-01T00:00:00-03:00,1,9,2022,7.17
PRECOS12_IPCAGA12,2022-10-01T00:00:00-03:00,1,10,2022,6.47
PRECOS12_IPCAGA12,2022-11-01T00:00:00-03:00,1,11,2022,5.9
PRECOS12_IPCAGA12,2022-12-01T00:00:00-03:00,1,12,2022,5.79
PRECOS12_IPCAGA12,2023-01-01T00:00:00-03:00,1,1,2023,5.77
PRECOS12_IPCAGA12,2023-02-01T00:00:00-03:00,1,2,2023,5.6
PRECOS12_IPCAGA12,2023-03-01T00:00:00-03:00,1,3,2023,4.65
PRECOS12_IPCAGA12,2023-04-01T00:00:00-03:00,1,4,2023,4.18
PRECOS12_IPCAGA12,2023-05-01T00:00:00-03:00,1,5,2023,3.94
PRECOS12_IPCAGA12,2023-06-01T00:00:00-03:00,1,6,2023,3.16
PRECOS12_IPCAGA12,2023-07-01T00:00:00-03:00,1,7,2023,3.99
PRECOS12_IPCAGA12,2023-08-01T00:00:00-03:00,1,8,2023,4.61
PRECOS12_IPCAGA12,2023-09-01T00:00:00-03:00,1,9,2023,5.19
PRECOS12_IPCAGA12,2023-10-01T00:00:00-03:00,1,10,2023,4.82
PRECOS12_IPCAGA12,2023-11-01T00:00:00-03:00,1,11,2023,4.68
PRECOS12_IPCAGA12,2023-12-01T00:00:00-03:00,1,12,2023,4.62
PRECOS12_IPCAGA12,2024-01-01T00:00:00-03:00,1,1,2024,4.51
PRECOS12_IPCAGA12,2024-02-01T00:00:00-03:00,1,2,2024,4.5
PRECOS12_IPCAGA12,2024-03-01T00:00:00-03:00,1,3,2024,3.93
PRECOS12_IPCAGA12,2024-04-01T00:00:00-03:00,1,4,2024,3.69
PRECOS12_IPCAGA12,2024-05-01T00:00:00-03:00,1,5,2024,3.93
PRECOS12_IPCAGA12,2024-06-01T00:00:00-03:00,1,6,2024,4.23
PRECOS12_IPCAGA12,2024-07-01T00:00:00-03:00,1,7,2024,4.5
PRECOS12_IPCAGA12,2024-08-01T00:00:00-03:00,1,8,2024,4.24
PRECOS12_IPCAGA12,2024-09-01T00:00:00-03:00,1,9,2024,4.42
PRECOS12_IPCAGA12,2024-10-01T00:00:00-03:00,1,10,2024,4.76
PRECOS12_IPCAGA12,2024-11-01T00:00:00-03:00,1,11,2024,4.87
PRECOS12_IPCAGA12,2024-12-01T00:00:00-03:00,1,12,2024,4.83
PRECOS12_IPCAGA12,2025-01-01T00:00:00-03:00,1,1,2025,4.56
PRECOS12_IPCAGA12,2025-02-01T00:00:00-03:00,1,2,2025,5.06
PRECOS12_IPCAGA12,2025-03-01T00:00:00-03:00,1,3,2025,5.48
PRECOS12_IPCAGA12,2025-04-01T00:00:00-03:00,1,4,2025,5.53
PRECOS12_IPCAGA12,2025-05-01T00:00:00-03:00,1,5,2025,5.32
PRECOS12_IPCAGA12,2025-06-01T00:00:00-03:00,1,6,2025,5.35
PRECOS12_IPCAGA12,2025-07-01T00:00:00-03:00,1,7,2025,5.23
PRECOS12_IPCAGA12,2025-08-01T00:00:00-03:00,1,8,2025,5.13
PRECOS12_IPCAGA12,2025-09-01T00:00:00-03:00,1,9,2025,5.17
