CODE,DATE,DAY,MONTH,YEAR,VALUE
BM12_IPCAEXP1212,2018-07-01T00:00:00-03:00,1,7,2018,3.74
BM12_IPCAEXP1212,2018-08-01T00:00:00-03:00,1,8,2018,3.65
BM12_IPCAEXP1212,2018-09-01T00:00:00-03:00,1,9,2018,4.14
BM12_IPCAEXP1212,2018-10-01T00:00:00-03:00,1,10,2018,4.02
BM12_IPCAEXP1212,2018-11-01T00:00:00-03:00,1,11,2018,3.4
BM12_IPCAEXP1212,2018-12-01T00:00:00-02:00,1,12,2018,3.68
BM12_IPCAEXP1212,2019-01-01T00:00:00-02:00,1,1,2019,3.98
BM12_IPCAEXP1212,2019-02-01T00:00:00-02:00,1,2,2019,3.94
BM12_IPCAEXP1212,2019-03-01T00:00:00-03:00,1,3,2019,3.98
BM12_IPCAEXP1212,2019-04-01T00:00:00-03:00,1,4,2019,3.72
BM12_IPCAEXP1212,2019-05-01T00:00:00-03:00,1,5,2019,3.54
BM12_IPCAEXP1212,2019-06-01T00:00:00-03:00,1,6,2019,3.49
BM12_IPCAEXP1212,2019-07-01T00:00:00-03:00,1,7,2019,3.65
BM12_IPCAEXP1212,2019-08-01T00:00:00-03:00,1,8,2019,3.49
BM12_IPCAEXP1212,2019-09-01T00:00:00-03:00,1,9,2019,3.34
BM12_IPCAEXP1212,2019-10-01T00:00:00-03:00,1,10,2019,3.37
BM12_IPCAEXP1212,2019-11-01T00:00:00-03:00,1,11,2019,3.81
BM12_IPCAEXP1212,2019-12-01T00:00:00-03:00,1,12,2019,4.1
BM12_IPCAEXP1212,2020-01-01T00:00:00-03:00,1,1,2020,3.44
BM12_IPCAEXP1212,2020-02-01T00:00:00-03:00,1,2,2020,3.46
BM12_IPCAEXP1212,2020-03-01T00:00:00-03:00,1,3,2020,3.13
BM12_IPCAEXP1212,2020-04-01T00:00:00-03:00,1,4,2020,2.5
BM12_IPCAEXP1212,2020-05-01T00:00:00-03:00,1,5,2020,2.67
BM12_IPCAEXP1212,2020-06-01T00:00:00-03:00,1,6,2020,3.22
BM12_IPCAEXP1212,2020-07-01T00:00:00-03:00,1,7,2020,3.2
BM12_IPCAEXP1212,2020-08-01T00:00:00-03:00,1,8,2020,3.14
